% Model:              zahra.mph
% Version:            COMSOL 5.3.1.275
% Date:               May 12 2020, 02:02
% Dimension:          3
% Nodes:              5948
% Expressions:        4
% Description:        Temperature, Mach number, Pressure, Density
% Length unit:        mm
% x                       y                        z                        T (K)                    hmnf.Ma (1)              p (Pa)                   hmnf.rho (kg/m^3)
9.577841657688833         -50.8                    -16.808125384594458      271.4227689729438        1.4913635674628554       90435.50803638717        1.1609427645687427
6.872259627237522         -50.8                    -12.329835422421992      272.3086993516698        1.4293365632850827       89180.2732228975         1.1411044158818444
4.7438279440210085        -50.8                    -7.445117387082828       273.45083396007124       1.368423191156275        88370.82844119983        1.1260243377614607
3.000471443813513         -47.209404597816146      -9.99719763563365        272.323725305875         1.3769767791635519       86820.36432769104        1.1108469520827724
9.462098499402304         -47.693938856864705      -14.55123905061411       271.21054924422026       1.469017879856966        89106.677106852          1.144779315252833
10.44643572606276         -46.33725207785208       -20.698606037403742      271.47967737562334       1.528310577714372        91742.38099794932        1.1774725356773843
13.561865054352626        -50.8                    -17.177529012213693      271.2214483980016        1.5224426834192866       91646.97812187627        1.1773679839413496
11.96344110925026         -47.75255570075484       -16.61638693082329       271.1456193814399        1.5075688244451941       90648.7529074785         1.1648696887931207
17.482573902361068        -50.8                    -20.7490398446084        271.7686171099449        1.5445111380097503       93945.28960595762        1.2044639566351627
15.577203581647652        -47.112961704801215      -20.37928903995396       271.3136395100198        1.5543361900321389       93020.41205615245        1.1946061192459616
17.334739288905595        -50.8                    -15.030902236621904      271.1665121368637        1.520744634948625        91766.67111496825        1.1791444899989862
15.57905252649603         -47.67054836687828       -16.66268587041853       271.01242505390684       1.5288398037041881       91592.59509373269        1.1775768654724563
20.319999999999997        -50.8                    -25.399999999999995      272.13474186114786       1.5750098874802665       96153.40841121273        1.23111549561352
19.18675148972991         -47.70694505624275       -21.42261081073394       271.6575420367389        1.5585211865694442       94298.29127260948        1.209484089247261
25.4                      -50.8                    -25.4                    272.60393810687367       1.5816223446740825       97670.82476013193        1.2483915857643872
22.164796182282267        -47.16883028882124       -25.4                    272.43818254973564       1.5834564972228475       96896.31911474794        1.2392456647486179
22.04961903834894         -50.8                    -21.54068340732836       272.0505138003281        1.5575623302735937       95371.34392035472        1.2214802669373346
21.614288862911394        -50.8                    -17.575188872138412      271.6094948662571        1.542290855280604        93799.24610924859        1.2032960838006495
17.682404205842353        -46.15698995691853       -25.4                    272.2481855362643        1.5850254487798099       95941.13646960755        1.22788577434101
25.4                      -47.53499730493488       -21.733138106159654      272.5111116138307        1.5681760702304732       96860.74395899981        1.2384591563682665
25.400000000000002        -50.8                    -20.319999999999997      272.2687825651555        1.5736497040240918       96391.41967735851        1.2335553197958626
25.39999999999999         -45.71999999999999       -25.39999999999999       273.36949471561724       1.5786963439134278       98582.17143180921        1.256511399998429
-22.107910033831587       -38.83979345562414       -9.693480661989152       271.0149898149621        1.5655971703062688       90525.36257841364        1.1638447822449784
-22.33927007210701        -43.42952552726002       -2.260691006736537       270.5855417775128        1.5272168474914762       89066.64751292573        1.1469081048361776
-12.287401070666514       -47.428262244294345      -1.6905308129645833      271.36702482369753       1.41647113609978         87890.07315568811        1.1284981618335332
-13.831383800585431       -48.196377056114855      0.47382652283787213      271.70324039892336       1.419721350517104        88473.10102381668        1.1345784622578596
-12.755713499874988       -50.8                    2.720255553109409        273.0193546463032        1.3959972192443861       89594.76672560813        1.1434240182352584
-8.91926404683951         -50.8                    0.18817318412294606      273.1415417073259        1.372722155975752        88994.07455438476        1.135249810506721
-8.222682141907821        -46.482989068821524      -1.666928448607632       271.1310013913953        1.382889889413657        86241.13715636358        1.1082899615067032
-4.715514842393978        -50.8                    -2.221213381072601       273.28507821261076       1.3461092186306494       88283.31049917966        1.125591472712481
-16.840805050912046       -50.8                    5.151907773458321        272.0576765931674        1.431541684666017        89430.49491100843        1.1453619533442436
-16.364692371161865       -46.48924724911379       3.2532963125186          270.812647966078         1.4351923402727025       87453.5561992601         1.1251919952016818
-12.79036426663993        -50.8                    7.588806729789399        272.27855130189766       1.4172671214579826       89568.17641166846        1.146194721824229
-12.756344424619492       -46.22593902588832       2.786232078699102        270.90638648242964       1.4051836823056323       86571.29709892882        1.1134552938642048
-16.9850625151405         -32.5248247422678        -21.104346785733547      273.3054514256291        1.5699430026071306       96158.08463318956        1.2259016031649888
-16.76716780977745        -30.10693680006247       -25.400000000000002      277.22181405197995       1.5566375145305027       102771.2723666129        1.2917023079554018
-21.000590948775056       -27.94                   -25.400000000000002      279.3395550757658        1.5471746143345266       106159.03934014065       1.3241666509995407
-21.09656110317265        -29.630566167487864      -22.191926549258163      277.4385307133847        1.5543481568608994       102341.73199501514       1.2852987642436777
-22.453715830080665       -27.309225261462895      -21.561162804660416      278.7656256659885        1.5440607146145522       104160.52316907134       1.3019132157703577
-25.399999999999995       -27.939999999999994      -21.000590948775056      278.8511264868411        1.5432595466688952       104317.08018475209       1.3034702479581024
-21.19253125757025        -31.321132334975736      -18.983853098516324      275.5374225043087        1.5611017571641033       98628.33527687256        1.2472089382014035
-19.507431660161327       -26.678450522925793      -22.121734660545776      278.7236939706555        1.545077030521413        104109.13779692074       1.3014667102061837
-25.399999999999995       -25.399999999999995      -25.399999999999995      281.3613601428072        1.5320534337146174       109282.92157067604       1.3533369685807197
-22.74291338419144        -32.38329274549446       -15.831356485325228      275.60567329326653       1.5632954865287152       98321.50376969244        1.243020989860611
-25.399999999999995       -30.117439927683677      -16.863359411299104      277.54761095878575       1.557638644978727        102073.0091573545        1.2814200884070297
-16.94246510235546        -50.8                    10.14972334253058        271.2366783288939        1.4641178074762726       89399.92554628428        1.1484361198428898
-21.00059094877505        -50.8                    7.619999999999992        270.6155162968699        1.4803042375501145       89046.81545523941        1.146525720016197
-17.821330366699556       -47.850285369935975      9.273186703220315        270.1660854326237        1.4695651576986          87866.13383781601        1.1332058054145906
-21.170516951361286       -50.8                    12.790881513527417       270.8395517454482        1.5083392452008761       90421.23016775091        1.1632590183994085
-19.810335021585182       -46.253429180629524      5.794191306830977        270.25275124709884       1.4629629839779374       87781.4680413259         1.131750823078586
-22.647649011439146       -46.41790165890476       9.207833794251473        271.12475512328814       1.4942595836476817       90606.89445358264        1.1644213928436828
-25.399999999999995       -50.79999999999999       10.159999999999993       271.4978921780555        1.5177496257207583       92231.2559400033         1.183667609854722
-22.60516751079259        -46.327010064702286      4.167095653415487        270.87920233294784       1.4889521933913914       89722.01621415785        1.1540947509521364
-25.4                     -46.40059094877505       2.5399999999999974       271.59876075402593       1.5174379339006074       91794.49875313135        1.1776248837888077
-22.10791003383159        -39.005315403371924      -4.65583444528771        269.97223871220405       1.5475991747110076       88439.82444156543        1.1414236510857103
-25.4                     -42.333690262534446      -0.08187555822097149     271.4327852519017        1.5323673587978777       91609.31612548791        1.1759678298902898
-22.472218791449805       -43.94068449828538       2.6791448495442562       270.99169860869273       1.4907997069708798       89794.36685754267        1.1545459141183243
-25.4                     -38.08924996168706       -2.534239486692113       270.8134597035902        1.5567088501706634       90915.02553899305        1.1697243291270554
-20.64428984570584        -40.13387222995732       -0.5897773175566172      269.8735644872834        1.508749972266986        87617.00337063702        1.1312176003977574
-25.4                     -46.58237413718          7.496035524908259        271.60731812986285       1.5110433095895384       92136.67393927087        1.1819773830688116
-25.4                     -46.45770885450856       12.333692032209976       271.9673401150152        1.5245496811059902       93327.20420857021        1.19566524443556
-25.39999999999999        -50.79999999999998       15.239999999999993       271.9355009780711        1.5430583102235016       93854.73000319483        1.202564446318089
-25.399999999999995       -32.46151441521558       -12.402617162989515      276.3154082241568        1.5645661565301656       99494.91864876587        1.2546248963886426
-22.74291338419144        -34.57509337450965       -11.884489934058893      274.2645245291912        1.567416916965996        95686.54048150037        1.2156241520745015
-25.399999999999995       -34.50104118571406       -8.96962630876643        274.6182643028031        1.563958117995864        96540.14505946808        1.2248887120013097
-21.559048320376238       -35.94483815402523       -6.417332107919709       270.6049954914342        1.5488182966345292       89336.19495703651        1.1502963574325629
-23.296567493764197       -32.37276538504231       -7.3267691120258185      273.63543133880387       1.5484613092617818       94204.33063239047        1.1995452643730702
-25.4                     -34.14518361159675       -4.903436490301087       273.06136158460316       1.5548275978437434       94103.57443358933        1.20078145450387
-17.268545218693323       -50.8                    15.171691056808887       270.40876640223956       1.5016905352193815       89661.23993847064        1.155319428746097
-21.726759795761705       -50.8                    17.808229215787986       271.22837936281036       1.5505005191597605       92140.4366585924         1.1836770856353023
-19.386119125726307       -47.36517258663271       16.40083452921049        270.792599439326         1.5364012577256299       90626.32909672172        1.1660997463574712
-22.647649011439146       -46.187206229659004      14.28512832966114        271.4251668839915        1.5328278514127263       92029.34627508599        1.181392819243686
-25.4                     -47.16737324478047       22.177592675619202       272.6898289298697        1.574261592574217        96179.27730692325        1.2289399807843737
-25.39999999999999        -50.79999999999998       20.319999999999997       272.3229336027276        1.5702856112339665       95364.26861866874        1.2201678250238297
-22.24752287939261        -50.8                    22.112202939449915       271.89822956805443       1.56781384576594         94322.22676628249        1.2087201681019202
-25.4                     -50.8                    25.4                     272.93047027034675       1.576327090308998        97299.42341251325        1.242156586226727
-21.9314419861501         -47.604600853548526      25.4                     272.7499848053904        1.576127761735535        96755.89027256366        1.236035036906085
-20.319999999999997       -50.79999999999998       25.39999999999999        271.96901858864425       1.5764192966492478       95427.49559487171        1.2225656671358966
-17.786293312611953       -50.8                    20.850168074706954       271.14898864137336       1.544051023058304        92403.7826075256         1.187407708738289
-25.4                     -45.72                   25.4                     273.2443637701959        1.5792250902148632       97746.0716488938         1.2464251491265554
2.87304737233184          -43.34828966180731       -22.914692794581804      269.9075094744749        1.5561042835651913       90722.86278286221        1.1711698442339264
8.224490414302766         -44.140494986219785      -22.929143023947262      270.6464412976274        1.553508659155099        91508.24314642257        1.1780833002875577
